firm year DPS_Dummy risk growth mb size cash lev cr re roa tax fix age liquid
31 2009 1 0.0059 0.2036 1.5724 14.0431 0.0295 0.7726 0.8663 0.6828 0.1565 0.1772 0.3282 3.7612 0.0581
31 2010 1 0.136 0.1356 1.7161 14.1851 0.0372 0.8222 0.7627 0.6481 0.112 0.1511 0.3616 3.7842 0.0466
31 2011 1 0.6014 0.2768 1.4086 14.531 0.0238 0.9231 0.6309 0.4243 0.032 0.0935 0.4157 3.8067 0.0162
31 2012 1 0.128 0.3658 1.095 14.6971 0.0481 0.9174 0.6374 0.1453 0.0325 0.2178 0.4291 3.8286 0.0597
31 2013 1 0.2322 0.3013 1.5574 14.9395 0.0197 0.8722 0.695 0.5396 0.0709 0.2246 0.4609 3.8501 0.0838
31 2014 1 0.6442 0.0736 1.0951 15.1106 0.026 0.9038 0.5974 0.2744 0.0224 0.2227 0.5359 3.8712 0.1195
31 2015 1 1.0688 0.0419 1.2777 15.2655 0.0313 0.9357 0.5854 0.0607 0.0039 0.2206 0.5435 3.8918 0.0347
31 2016 1 0.8005 0.0966 1.4915 15.297 0.0269 0.9095 0.5354 6.7009 0.0136 0.2228 0.4678 3.912 0.014
32 2014 1 0.6185 0.0882 0.8982 12.8797 0.4519 0.4707 1.7788 0.0716 0.0514 0 0.1914 3.9703 2.7073
32 2015 1 0.5814 0.0216 2.1346 13.0815 0.3016 0.4741 1.8208 0.1888 0.1007 0 0.1723 3.989 0.1383
32 2016 1 0.0286 0.0227 2.378 13.1467 0.2943 0.4768 1.7659 3.2936 0.0986 0 0.194 4.0073 0.0125
33 2010 0 -14.5058 -0.2368 0.9838 13.3994 0.0221 0.3229 1.7289 0.1827 0.0735 0 0.0754 3.8712 0.3153
33 2011 0 7.2312 -0.1976 0.6175 13.035 0.0094 0.1186 6.9815 0.0962 -0.0712 0 0.086 3.8918 0.0941
33 2012 0 -1.2208 -1 1.8917 13.0607 0.0336 0.1794 4.7147 0.0537 -0.0052 0 0.0654 3.912 0.0771
34 2013 1 0.0845 0.1636 2.1891 13.5543 0.0052 0.8295 0.8962 0.7345 0.0967 0.1181 0.0567 3.7842 0.0214
35 2009 1 0.092 0.5511 0.8319 13.5238 0.0463 0.6296 1.2893 0.5003 0.0784 0.1304 0.0853 3.7136 0.0056
35 2010 1 0.0097 -0.0099 0.8924 13.6166 0.0399 0.646 1.3093 0.5234 0.0725 0.1252 0.0802 3.7377 0.0632
35 2011 1 0.4875 -0.1342 0.9074 13.6859 0.015 0.6589 1.303 0.4536 0.0494 0.1135 0.0799 3.7612 0.0305
35 2012 1 0.5021 0.9388 1.0043 13.9504 0.0946 0.6838 1.3153 0.5404 0.0798 0.1266 0.0729 3.7842 0.0106
35 2013 1 0.4619 0.3532 1.7012 14.3395 0.0284 0.7017 1.4301 0.6698 0.1064 0.0939 0.078 3.8067 0.0762
35 2014 1 0.0588 0.1335 1.2367 14.5887 0.0402 0.7124 1.3334 0.7331 0.0901 0.0414 0.0988 3.8286 0.0576
35 2015 1 0.2065 -0.186 1.3579 14.7309 0.0214 0.7225 1.4439 0.76 0.0582 0.0321 0.1209 3.8501 0.2811
35 2016 1 0.0441 0.3088 3.8315 14.7952 0.0278 0.7101 1.3997 0.2495 0.0581 0.0025 0.1439 3.8712 0.0757
36 2009 1 0.0342 0.1251 0.925 15.9514 0.0254 0.6448 1.0035 0.2683 0.1002 0.1054 0.3269 3.5835 0.0751
36 2010 1 0.8274 0.2419 0.9811 15.9856 0.0347 0.729 0.8811 0.073 0.0253 0.1902 0.3069 3.6109 0.1931
36 2011 1 0.0259 0.509 0.9588 16.2405 0.1089 0.7843 1.0095 0.0976 0.0189 0.1639 0.2224 3.6376 0.2506
36 2012 0 -2.2003 -0.1181 1.0091 16.3879 0.1056 0.9155 0.8615 -0.9879 -0.0751 0 0.1904 3.6636 0.0659
36 2013 0 -0.5568 -0.4295 1.0281 16.5927 0.0631 0.7751 0.7094 -0.9294 -0.1407 0 0.4505 3.6889 0.7008
